,pid,word,simplicity,complexity,gid,sentence,category,complex_annotation_count,complex_annotators,label
13770,ficwfteigenp1,१५वाँ,2,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13771,ficwfteigenp1,15वाँ,2,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13772,ficwfteigenp1,१५वीं,2,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13773,ficwfteigenp1,15वीं,2,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13774,ficwfteigenp1,अकत,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13775,ficwfteigenp1,अकरा,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13776,ficwfteigenp1,अकोर,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13777,ficwfteigenp1,अँकोर,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13778,ficwfteigenp1,अंकोर,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13779,ficwfteigenp1,अखिल,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13780,ficwfteigenp1,अंग,5,0,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13781,ficwfteigenp1,अगड़ा,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13782,ficwfteigenp1,अंगना,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13783,ficwfteigenp1,अगम,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13784,ficwfteigenp1,अगम्य,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
13785,ficwfteigenp1,अगुआ,3,1,15,"सिर्फ़ चालीस दिनों के बीच बलूचिस्तान में लगभग दो सौ शिया हज़ारा के क़त्ल से देश भर में बेचैनी है  । 
",news,0,,
