gid,pid,words,sentence_number
8,eicwgihgtp0,,0
8,eicwgihgtp0,,1
8,eicwgihgtp0,,2
8,eicwgihgtp0,,3
8,eicwgihgtp0,,4
8,eicwgihgtp0,,5
8,eicwgihgtp0,,6
8,eicwgihgtp0,,7
8,eicwgihgtp0,,8
8,eicwgihgtp0,,9
8,eicwgihgtp0,,10
8,eicwgihgtp0,,11
8,eicwgihgtp0,,12
8,eicwgihgtp0,,13
8,eicwgihgtp0,,14
8,eicwgihgtp0,,15
8,eicwgihgtp0,,16
8,eicwgihgtp0,,17
8,eicwgihgtp0,,18
8,eicwgihgtp0,,19
8,eicwgihgtp0,,20
8,eicwgihgtp0,,21
8,eicwgihgtp0,,22
8,eicwgihgtp0,,23
8,eicwgihgtp0,,24
8,eicwgihgtp0,,25
8,eicwgihgtp0,,26
8,eicwgihgtp0,,27
8,eicwgihgtp0,,28
8,eicwgihgtp0,,29
8,eicwgihgtp0,,30
8,eicwgihgtp0,,31
8,eicwgihgtp0,,32
8,eicwgihgtp0,,33
8,eicwgihgtp0,,34
8,eicwgihgtp0,,35
8,eicwgihgtp0,,36
8,eicwgihgtp0,,37
8,eicwgihgtp0,,38
8,eicwgihgtp0,,39
8,eicwgihgtp0,,40
8,eicwgihgtp0,,41
8,eicwgihgtp0,,42
8,eicwgihgtp0,,43
8,eicwgihgtp0,,44
8,eicwgihgtp0,,45
8,eicwgihgtp0,,46
8,eicwgihgtp0,,47
8,eicwgihgtp0,,48
8,eicwgihgtp0,,49
8,eicwgihgtp0,,50
8,eicwgihgtp0,,51
8,eicwgihgtp0,,52
8,eicwgihgtp0,,53
8,eicwgihgtp0,,54
8,eicwgihgtp0,,55
8,eicwgihgtp0,,56
8,eicwgihgtp0,,57
8,eicwgihgtp0,,58
8,eicwgihgtp0,,59
8,eicwgihgtp0,,60
8,eicwgihgtp0,,61
8,eicwgihgtp0,,62
8,eicwgihgtp0,,63
8,eicwgihgtp0,,64
8,eicwgihgtp0,,65
8,eicwgihgtp0,,66
8,eicwgihgtp0,,67
8,eicwgihgtp0,,68
8,eicwgihgtp0,,69
8,eicwgihgtp0,,70
8,eicwgihgtp0,,71
8,eicwgihgtp0,,72
8,eicwgihgtp0,,73
8,eicwgihgtp0,,74
8,eicwgihgtp0,,75
8,eicwgihgtp0,,76
8,eicwgihgtp0,,77
8,eicwgihgtp0,,78
8,eicwgihgtp0,,79
8,eicwgihgtp0,,80
8,eicwgihgtp0,,81
8,eicwgihgtp0,,82
8,eicwgihgtp0,,83
8,eicwgihgtp0,,84
8,eicwgihgtp0,चिंतनशील,85
8,eicwgihgtp0,,86
8,eicwgihgtp0,,87
8,eicwgihgtp0,,88
8,eicwgihgtp0,,89
8,eicwgihgtp0,,90
8,eicwgihgtp0,,91
8,eicwgihgtp0,"तबके,वांछा,मंतव्यों",92
8,eicwgihgtp0,,93
8,eicwgihgtp0,,94
8,eicwgihgtp0,"तथ्यतर्कपरकता,स्थानापन्न",95
8,eicwgihgtp0,,96
8,eicwgihgtp0,,97
8,eicwgihgtp0,,98
8,eicwgihgtp0,व्‍यंजित,99
8,eicwgihgtp1,"रणथम्भौर,मीडिया",0
8,eicwgihgtp1,,1
8,eicwgihgtp1,,2
8,eicwgihgtp1,त्वचा,3
8,eicwgihgtp1,"निःशुल्क,नर्मदा",4
8,eicwgihgtp1,सम्पुट,5
8,eicwgihgtp1,,6
8,eicwgihgtp1,"अधिग्राहण,बातचीत",7
8,eicwgihgtp1,तरुवर,8
8,eicwgihgtp1,"विलम्ब,अड़चने",9
8,eicwgihgtp1,सहेली,10
8,eicwgihgtp1,गुँटर-गुँटर,11
8,eicwgihgtp1,"भारीभरकम,गठरी,भूरी,बकरी",12
8,eicwgihgtp1,,13
8,eicwgihgtp1,,14
8,eicwgihgtp1,दफ्तर,15
8,eicwgihgtp1,बहादुर,16
8,eicwgihgtp1,,17
8,eicwgihgtp1,,18
8,eicwgihgtp1,हलचल,19
8,eicwgihgtp1,"तमाचा,गालियाँ,वरना",20
8,eicwgihgtp1,"तबियत,अचानक,खराब,उखड़",21
8,eicwgihgtp1,ठिठुरे,22
8,eicwgihgtp1,खोलकर,23
8,eicwgihgtp1,,24
8,eicwgihgtp1,"टूटने,ज्ञान",25
8,eicwgihgtp1,"अमरूद,अधिकतर,यानि,नगला",26
8,eicwgihgtp1,"त्यौहार,समुदाय",27
8,eicwgihgtp1,"सातवीं,अनुसूची",28
8,eicwgihgtp1,"गौरवपूर्ण,लोकतांत्रिक,उदारवादी",29
8,eicwgihgtp1,बंटवारा,30
8,eicwgihgtp1,"जैक,प्रेगेर",31
