,pid,word,simplicity,complexity,gid,sentence,category,complex_annotation_count,complex_annotators,label
49770,tcwwenigtyp1,अकड़,5,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49771,tcwwenigtyp1,अखिलात्मा,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49772,tcwwenigtyp1,अखिलेश,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49773,tcwwenigtyp1,अखिलेश्वर,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49774,tcwwenigtyp1,अगाध,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49775,tcwwenigtyp1,अगाध्य,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49776,tcwwenigtyp1,अगाह,4,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49777,tcwwenigtyp1,अग्रगण्य,2,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49778,tcwwenigtyp1,अग्रदूत,1,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49779,tcwwenigtyp1,अच्छाखासा,1,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49780,tcwwenigtyp1,अंजल,2,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49781,tcwwenigtyp1,अंजलि,5,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49782,tcwwenigtyp1,अंजलिपुट,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49783,tcwwenigtyp1,अँजली,4,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49784,tcwwenigtyp1,अंजली,5,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49785,tcwwenigtyp1,अजहद,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49786,tcwwenigtyp1,अंजाम,5,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49787,tcwwenigtyp1,अजीज,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49788,tcwwenigtyp1,अज़ीज़,4,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49789,tcwwenigtyp1,अँजुरी,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49790,tcwwenigtyp1,अंजुरी,4,0,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
49791,tcwwenigtyp1,अंजुल,3,1,20,"रोज भेज देते हैं हम तक किरणों के हरकारे   । 
",baal sahitya,0,,
