word,frequency
का,32192
है,28685
कर,26458
में,19312
यह,13306
हो,11210
वह,10031
से,9942
को,9872
जा,9739
और,8598
ने,5884
पर,5752
ले,5571
था,5135
भी,5130
रह,5010
नहीं,4895
कि,4641
दे,4082
ही,3713
एक,3435
अपना,3113
जो,3044
तो,2963
मैं,2867
कह,2691
’,2475
हम,2048
आ,2032
सक,1999
कोई,1867
साथ,1773
वाला,1647
तथा,1602
दो,1501
मिल,1437
तक,1386
भारत,1376
बाद,1323
आप,1278
कुछ,1180
लेकिन,1152
बन,1120
बना,1104
दिन,1090
पहले,1088
ऐसा,1014
टीम,994
फिल्म,992
रूप,988
खेल,971
सब,969
न,958
या,955
एवं,938
‘,927
देख,925
रख,923
बात,911
देश,890
चल,876
सरकार,867
दूसरा,856
कला,855
समय,846
अब,843
क्या,842
भारतीय,838
मान,820
लोग,802
व,795
तुम,768
जब,754
मैच,752
लग,747
तरह,743
द्वारा,730
यहाँ,726
पा,726
कारण,721
बहुत,691
नया,678
बार,674
अच्छा,671
चाहिए,657
लगा,646
नाम,632
जीत,628
साल,618
काम,613
अधिक,610
पूरा,608
जैसा,591
रन,585
चाह,582
फिर,579
बड़ा,576
तीन,551
आज,551
जी,544
सबसे,525
जीवन,521
टेस्ट,518
बता,514
स्थान,511
कम,509
प्राप्त,487
फसल,475
कांग्रेस,470
क्षेत्र,448
भाजपा,445
सिंह,445
कई,437
वर्ष,436
फल,436
अन्य,436
ओर,431
चुक,424
जान,421
पहला,417
धर्म,412
खिलाफ,411
काफी,408
अगर,408
प्रदेश,404
समझ,403
प्रयोग,398
ज्यादा,394
प्रकार,394
चित्र,392
पार्टी,391
भाग,386
आदि,384
दिखा,382
राज्य,377
कभी,376
पास,375
चार,373
दिल्ली,370
उत्पादन,366
इतना,366
हर,362
बीच,361
अनुसार,361
रंग,360
क्योंकि,356
शुरू,355
कलाकार,352
अलग,351
वहाँ,349
मामला,348
विकेट,340
पड़,338
घर,338
ज्ञान,335
चुनाव,334
प्रमुख,330
मांग,329
विकास,329
पहुंच,323
कौन,322
पूर्व,321
तब,320
मोदी,320
दौरान,318
क्रिकेट,318
विशेष,317
रुपया,314
इसलिए,313
कार्य,311
कृषि,308
लिये,305
केवल,304
खिलाडी,303
किसान,302
आगे,302
मंत्री,301
अभी,298
नेता,298
जबकि,297
प्रति,293
सामने,291
खेती,287
हाथ,287
बुद्ध,287
तैयार,286
फैसला,284
प्रदर्शन,283
दर्शन,283
भर,279
छोटा,277
सिर्फ,276
अनेक,276
जहाँ,275
बडा,275
केंद्र,272
ना,272
यदि,270
पत्र,270
जल,268
शामिल,267
पांच,266
विचार,266
अलावा,265
ला,265
कुमार,265
विश्व,263
पिछला,263
भूमि,262
अध्यक्ष,262
मन,259
पारी,259
कप्तान,259
लगभग,258
निर्माण,257
करा,256
सीरीज,253
भेज,252
प्रधानमंत्री,252
लिख,252
बाहर,251
उठा,249
विभिन्न,248
क्यों,245
महिला,244
मुख्यमंत्री,243
प्रतिशत,241
करोड,240
मुख्य,240
विषय,240
स्थिति,239
उत्तर,239
बल्लेबाज,238
पाकिस्तान,237
बढ,236
आधार,232
पड,231
बल्कि,230
सारा,230
काल,229
फूल,227
ध्यान,225
जगह,225
तीसरा,225
मत,224
डाल,223
कर्म,223
ठीक,221
पानी,220
पौध,220
प्रभाव,220
अरा,220
प्रदर्शनी,220
मना,219
बारे,219
हार,219
सोच,218
बैठक,218
हरा,217
भाई,215
मौका,215
दुनिया,213
ऑस्ट्रेलिया,213
वहीं,211
गेंद,209
अगला,208
उपयोग,207
बैठ,205
तुम्ह,204
पद,203
संबंध,202
भाषा,199
हाँ,199
सुन,198
बैंक,197
दूर,197
दक्षिण,196
जैन,196
पौधा,195
हालांकि,195
दल,195
बौद्ध,195
मात्रा,193
निकल,193
आत्मा,193
हिस्सा,192
उम्मीद,192
कितना,192
कहीं,191
हासिल,190
पड़,190
जरूरत,189
अंतिम,189
प्रदान,189
जन्म,188
बच्चा,188
सदस्य,188
महत्वपूर्ण,187
बदल,187
स्तर,186
राहुल,186
महीना,182
कंपनी,181
कैसे,181
बिना,181
अथवा,180
मदद,180
बाजार,180
राष्‍ट्रीय,179
परिवार,179
तय,179
कार्यक्रम,179
बोल,179
गांधी,177
कमी,177
पता,176
अधिकारी,176
पूछ,176
पूजा,175
तौर,174
आवश्यकता,173
इंडिया,173
लाख,171
आवश्यक,171
मिट्टी,170
बीज,169
नीतीश,169
खेत,168
साहब,168
योजना,167
रोग,166
शक्ति,166
चर्चा,166
जांच,166
माँ,166
तेज,165
वक्त,165
सही,165
गुजरात,164
रिपोर्ट,163
जनता,163
विभाग,162
